count,guarantor
89,ER 24
74,SOS INTERNATIONAL
38,FLIGHTS
31,ALLIANZ PARTNERS(USE TO BE ALLIANZ WORLDWIDE CARE)
29,MSH INTERNATIONAL (DUBAI)
27,.
24,PRIVATE
23,WORLD TRAVEL ASSIST
19,AXA ASSISTANCE FRANCE
17,CEGA ASSISTANCE
16,MONDIAL ASSISTANCE BRAZIL
15,HTH  WORLDWIDE
15,EUROCROSS INTERNATIONAL NETHERLANDS
14,Aetna International( Used to be Interglobal)
14,TMA (DIRECT LINE GROUP)
13,HEALIX INTERNATIONAL
13,AXA ASSISTANCE USA( COLONIAL)
13,AXA PPP INTERNATIONAL
13,BANK OF MOZAMBIQUE
12,MUTUAIDE SERVICES
11,MAPFRE UK
11,ANWB
9,AFRICAN UNION COMMISSION
8,BRITAM
7,CHP ASSIST(CROSSBORDER HEALTH PARTNERS)
7,APRIL - CORIS BRASIL
7,NORTHCOTT GLOBAL SOLUTIONS
7,ROLAND ASSISTANCE GmbH
6,TOTAL E&P ANGOLA
6,MONDIAL SERVICE BELGIUM NV (SIG CODE 9947)
6,AXA ASSISTANCE CHICAGO
6,AIG TRAVEL ASIA PACIFIC PTE LTD
6,Blue Cross Blue Shield Global Core(GEO Blue)
6,AXA TRAVEL INSURANCE
5,AXA ASSISTANCE UK
5,BUPA GLOBAL ASSISTANCE DENMARK
5,FALK GLOBAL ASSISTANCE ( NORWAY)
5,APRIL BRASIL TURISMO(VIAGENS E ASSISTENCIA INTERNA
5,MED CON TEAM
5,VAB
4,MAYDAY ASSISTANCE
4,FIRST ASSISTANCE NEW ZEALAND
4,AWP FRANCE
4,AXA ASSISTANCE BARCELONA (SPAIN)
4,ALLIANZ GLOBAL ASSIST- CANADA (MONDIAL )
4,ALLIANZ GLOBAL ASSISTANCE- AUSTRALIA(MONDIAL)
4,ADAC Versicherung AG
4,AETNA GLOBAL BENEFITS(MIDDLE EAST)LLC
4,EGYCROSS ASSISTANCE - SPAIN
4,FALCK GLOBAL ASSISTANCE ( DENMARK  )
4,BUPA DENMARK SERVICES
3,AXA ASSISTANCE GERMANY
3,AXA ASSISTANCE MAURITIUS
3,CIGNA
3,CLASS ASSISTANCE LTD
3,GLOBAL BENEFITS GROUP INC
3,AWP RUS LLC(USE TO BE MONDIAL ASSISTANCE RUSSIA SA
3,APRIL - CORIS SLOVENIA
3,ALLIANZ GLOBAL ITALY
3,MONDIAL ASSISTANCE POLAND(NOW AWP POLSKA SP.Z.O.O
3,VHD ALARMCENTRALE
3,QBE ASSIST
3,PRESTIGE INTERNATIONAL UK LTD
2,TCS SWITZERLAND
2,TRAVEL GUARD UK( AIG TRAVEL EMEA)
2,MONDIAL AUSTRIA
2,MSH INTERNATIONAL CANADA-(CALGARY)
2,MD MEDICUS ASSISTANCE SERVICES
2,INTERPARTNER ASSISTANCE FRANCE
2,INTANA Assistance UK
2,INTANA GLOBAL ( USE TO BE SPECIALTY ASSIST)
2,ACTIVE CARE MANAGEMENT
2,APRIL - CORIS FRANCE
2,AWP P&C S.A.
2,ALLIANZ GLOBAL ASSISTANCE-SWITZERLAND
2,ALLIANCE INTERNATIONAL MEDICAL SERVICES
2,ALLIANZ GLOBAL ASSIST - NETHERLANDS(MONDIAL)
2,GOUDA TRAVEL INSURANCE
2,FALCK GLOBAL ASSISTANCE ( SWEDEN )
2,AXA ASSISTANCE USA(MIAMI FLORIDA)
1,AXA ASSISTANCE FRANCE ASSURANCES
1,BRASIL ASSISTENCIA S.A.
1,BELFIUS ASSISTANCE / AGA INTERNATIONAL SA BELGIAN 
1,DEUTSCHE ASSISTANCE
1,Fullerton/CSN Australia
1,EGYCROSS ASSISTANCE- EGYPT
1,FIDELIA SERVICES
1,FIDELIDADE ASSISTANCE
1,ALLIANZ GLOBAL ASSIST- AUSTRIA
1,ALLIANZ GLOBAL ASSIST- UK (MONDIAL)
1,ALLIANZ GLOBAL ASSISTANCE - PORTUGAL
1,AAI Australia Pty Ltd
1,AGA INTERNATIONAL SA BELGIAN BRANCH(SIG CODE 9987)
1,AGEAS
1,Assured Assist
1,ATV NV (TOURING CLUB)
1,AXA ASSISTANCE BRAZIL
1,APRIL -CORIS ARGENTINA
1,APRIL -CORIS POLAND
1,ALLIANZ WORLDWIDE PARTNERS INDIA
1,INTER MUTUELLES ASSISTANCE(HAS CONTRACT WITH MEDI-
1,INTER PARTNER ASSISTANCE BRUXELLES (BELGIUM)
1,INTER PARTNER ASSISTANCE ESPANA
1,INTER PARTNER ASSISTANCE POLAND
1,HEALIX INTERNATIONAL FCO
1,IMA -ISRAEL
1,MAPFRE ASSISTANCE (IRELAND)
1,MAPFRE ASSISTANCE (SPAIN)
1,MAPFRE PHILIPPINES
1,MEDICAL ADMINISTRATORS INTERNATIONAL
1,MEDICAL FLIGHT SERVICE
1,MONDIAL ASSISTANCE FRANCE
1,Now Health International (Europe) Limited(Europe a
1,ON CALL INTERNATIONAL - (MSO IS THERE ASSISTANCE P
1,Optimum Global( AXA PPP INTERNATIONAL)
1,NatWest
1,NOBIS COMPAGNIA DI ASSICURAZIONI SPA( FILO DIRETTO
1,PRUDENTIAL LIFE ASSURANCES
1,TRAVEL GUARD USA
1,WILLIAM RUSSELL
1,SOS INTERNATIONAL( AMSTERDAM)
1,RACC
1,SODEXO INTERNATIONAL
